Sales_date,Product_Code,Quantity,Price,Cost
19-01-01,220,23,172500,67275
19-01-01,220,5,35000,14625
19-01-11,240,23,184000,82800
19-01-13,210,15,97500,47250
19-01-16,260,23,161000,67275
19-01-19,260,10,70000,29250
19-01-22,240,5,35000,18000
19-01-23,240,30,240000,108000
19-01-23,220,10,70000,29250
19-01-26,230,5,37500,16875
19-01-30,260,6,39000,17550
19-02-01,250,10,70000,31500
19-02-04,280,6,45000,20250
19-02-04,210,12,84000,37800
19-02-09,280,12,78000,40500
19-02-12,270,6,39000,18900
19-02-14,260,12,84000,35100
19-02-17,230,23,184000,77625
19-02-18,220,6,42000,17550
19-02-20,260,23,149500,67275
19-02-20,280,10,75000,33750
19-02-22,270,5,37500,15750
19-03-01,220,6,45000,17550
19-03-04,290,30,240000,108000
19-03-05,220,23,172500,67275
19-03-06,290,7,56000,25200
19-03-15,250,25,175000,78750
19-03-15,220,12,84000,35100
19-03-31,210,12,96000,37800
19-04-09,280,23,172500,77625
19-04-13,220,27,175500,78975
19-04-17,260,30,195000,87750
19-04-24,240,7,52500,25200
19-04-25,220,25,175000,73125
19-04-27,230,6,48000,20250
19-05-05,280,12,78000,40500
19-05-06,220,7,49000,20475
19-05-06,280,30,195000,101250
19-05-08,240,23,184000,82800
19-05-13,220,23,172500,67275
19-05-15,230,27,202500,91125
19-05-20,240,12,84000,43200
19-05-22,240,7,56000,25200
19-05-24,220,7,52500,20475
19-05-25,290,12,84000,43200
19-05-31,260,23,149500,67275
19-06-02,240,5,40000,18000
19-06-08,280,7,45500,23625
19-06-11,250,12,78000,37800
19-06-13,280,23,149500,77625
19-06-21,230,6,45000,20250
19-06-30,240,23,184000,82800
19-07-02,240,23,184000,82800
19-07-07,280,23,172500,77625
19-07-09,280,15,112500,50625
19-07-17,220,23,172500,67275
19-07-19,210,12,96000,37800
19-07-20,290,5,40000,18000
19-07-20,280,27,202500,91125
19-07-22,220,15,112500,43875
19-07-26,280,6,39000,20250
19-07-28,220,7,49000,20475
19-08-02,280,23,172500,77625
19-08-03,290,7,56000,25200
19-08-10,280,23,161000,77625
19-08-16,270,10,65000,31500
19-08-23,280,23,172500,77625
19-09-03,290,23,184000,82800
19-09-04,240,23,172500,82800
19-09-04,220,7,52500,20475
19-09-10,220,5,37500,14625
19-09-17,270,15,105000,47250
19-09-24,240,23,161000,82800
19-10-10,280,10,65000,33750
19-10-11,230,23,172500,77625
19-10-12,280,27,202500,91125
19-10-13,260,10,70000,29250
19-10-15,280,23,172500,77625
19-10-15,220,6,45000,17550
